context,chair(downsampling rate),chair(frame rate),table(downsampling rate),table(frame rate),fridge(downsampling rate),fridge(frame rate),bag(downsampling rate),bag(frame rate),bulletin_board(downsampling rate),bulletin_board(frame rate),bag_2(downsampling rate),bag_2(frame rate),laptop(downsampling rate),laptop(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),plastic_container(downsampling rate),plastic_container(frame rate),shelf(downsampling rate),shelf(frame rate),score
2.0,44.0,4.0,49.0,9.0,64.0,3.0,52.0,9.0,45.0,2.0,89.0,2.0,49.0,3.0,48.0,9.0,68.0,5.0,29.0,5.0,93.0,7.0,292.1708324
1.0,70.0,2.0,82.0,4.0,86.0,5.0,96.0,9.0,83.0,8.0,55.0,8.0,88.0,6.0,29.0,9.0,15.0,4.0,72.0,7.0,2.0,7.0,242.9578513
1.0,22.0,4.0,61.0,3.0,7.0,4.0,76.0,3.0,10.0,4.0,38.0,6.0,91.0,5.0,48.0,1.0,9.0,10.0,40.0,7.0,91.0,2.0,231.6978738
1.0,68.0,9.0,48.0,10.0,69.0,10.0,26.0,3.0,58.0,10.0,25.0,3.0,80.0,5.0,2.0,4.0,12.0,10.0,94.0,5.0,16.0,6.0,254.6639158
1.0,34.0,4.0,65.0,10.0,86.0,5.0,18.0,2.0,88.0,4.0,37.0,8.0,90.0,9.0,79.0,2.0,59.0,9.0,94.0,7.0,76.0,3.0,267.4296539
2.0,98.0,4.0,56.0,2.0,78.0,1.0,64.0,2.0,55.0,10.0,98.0,3.0,20.0,4.0,3.0,5.0,92.0,10.0,80.0,3.0,15.0,3.0,305.22003770000003
2.0,64.0,10.0,96.0,7.0,100.0,2.0,58.0,6.0,38.0,1.0,54.0,3.0,49.0,9.0,13.0,9.0,78.0,10.0,65.0,3.0,44.0,5.0,305.2939956000001
2.0,31.0,10.0,46.0,8.0,34.0,6.0,59.0,9.0,36.0,6.0,38.0,4.0,93.0,1.0,96.0,10.0,27.0,8.0,26.0,6.0,60.0,8.0,316.52084549999995
1.0,55.0,5.0,29.0,9.0,33.0,9.0,25.0,2.0,12.0,9.0,68.0,1.0,28.0,7.0,10.0,7.0,30.0,7.0,36.0,10.0,57.0,9.0,221.87579770000002
1.0,99.0,10.0,99.0,4.0,64.0,5.0,80.0,6.0,66.0,8.0,90.0,6.0,58.0,9.0,38.0,1.0,34.0,10.0,92.0,9.0,51.0,8.0,245.15462329999997
1.0,83.0,9.0,36.0,8.0,72.0,7.0,3.0,6.0,83.0,5.0,91.0,6.0,99.0,7.0,38.0,7.0,78.0,10.0,41.0,4.0,84.0,10.0,261.9928828
1.0,81.0,4.0,5.0,8.0,69.0,4.0,20.0,6.0,59.0,8.0,30.0,6.0,43.0,9.0,23.0,1.0,80.0,10.0,87.0,1.0,43.0,10.0,209.57634610000002
1.0,48.0,10.0,100.0,6.0,85.0,8.0,80.0,4.0,39.0,6.0,99.0,1.0,66.0,3.0,7.0,5.0,100.0,3.0,2.0,9.0,80.0,4.0,238.69057329999995
2.0,90.0,1.0,63.0,3.0,90.0,10.0,41.0,4.0,64.0,4.0,16.0,7.0,10.0,9.0,24.0,6.0,38.0,5.0,88.0,4.0,22.0,4.0,252.59559279999996
2.0,26.0,10.0,24.0,8.0,46.0,5.0,99.0,8.0,21.0,5.0,46.0,5.0,53.0,2.0,68.0,10.0,79.0,5.0,75.0,7.0,49.0,4.0,309.5751693000001
1.0,95.0,9.0,87.0,9.0,87.0,6.0,3.0,3.0,48.0,7.0,67.0,6.0,62.0,5.0,100.0,4.0,74.0,5.0,32.0,1.0,82.0,2.0,283.03651899999994
1.0,44.0,4.0,36.0,10.0,4.0,6.0,21.0,10.0,45.0,7.0,74.0,4.0,89.0,9.0,34.0,3.0,36.0,9.0,68.0,1.0,25.0,3.0,239.2313277
2.0,34.0,6.0,2.0,1.0,57.0,8.0,43.0,10.0,10.0,3.0,58.0,3.0,13.0,6.0,89.0,5.0,43.0,8.0,100.0,10.0,1.0,6.0,249.9091072
1.0,65.0,1.0,82.0,2.0,11.0,1.0,26.0,5.0,51.0,7.0,35.0,1.0,5.0,3.0,76.0,7.0,75.0,2.0,68.0,9.0,27.0,5.0,248.4926017
2.0,81.0,4.0,74.0,3.0,87.0,6.0,60.0,5.0,76.0,7.0,52.0,10.0,23.0,1.0,94.0,3.0,8.0,4.0,78.0,5.0,98.0,1.0,269.1389957
2.0,28.0,5.0,97.0,1.0,37.0,2.0,72.0,10.0,59.0,10.0,23.0,6.0,74.0,3.0,32.0,3.0,21.0,5.0,93.0,7.0,34.0,7.0,253.44102650000002
2.0,41.0,2.0,27.0,3.0,8.0,8.0,100.0,6.0,34.0,7.0,98.0,7.0,23.0,9.0,56.0,7.0,15.0,6.0,64.0,5.0,36.0,6.0,263.2487551
2.0,8.0,2.0,75.0,9.0,63.0,1.0,43.0,4.0,6.0,7.0,58.0,10.0,88.0,9.0,10.0,10.0,98.0,7.0,32.0,4.0,22.0,8.0,229.6059234
2.0,100.0,9.0,47.0,3.0,3.0,9.0,19.0,5.0,3.0,6.0,94.0,5.0,81.0,5.0,93.0,9.0,71.0,6.0,98.0,1.0,8.0,7.0,296.1301834
2.0,18.0,7.0,65.0,6.0,54.0,10.0,69.0,9.0,14.0,5.0,81.0,6.0,35.0,4.0,1.0,9.0,11.0,7.0,54.0,10.0,68.0,8.0,254.63378359999996
2.0,90.0,2.0,14.0,6.0,81.0,5.0,61.0,1.0,37.0,9.0,77.0,2.0,98.0,4.0,98.0,8.0,30.0,4.0,33.0,4.0,73.0,6.0,295.3768515
2.0,65.0,6.0,39.0,9.0,72.0,3.0,18.0,5.0,41.0,6.0,14.0,10.0,38.0,5.0,92.0,9.0,21.0,7.0,62.0,4.0,73.0,10.0,298.6539889
1.0,34.0,9.0,42.0,6.0,81.0,8.0,80.0,9.0,82.0,3.0,85.0,4.0,34.0,6.0,97.0,4.0,41.0,5.0,2.0,10.0,9.0,1.0,262.02750760000004
2.0,39.0,5.0,34.0,10.0,4.0,6.0,62.0,8.0,4.0,5.0,61.0,8.0,97.0,1.0,59.0,9.0,77.0,5.0,63.0,2.0,90.0,9.0,294.6732999
2.0,94.0,3.0,48.0,9.0,10.0,9.0,16.0,2.0,83.0,9.0,73.0,7.0,75.0,1.0,18.0,5.0,68.0,3.0,65.0,1.0,9.0,7.0,236.8541693
1.0,86.0,3.0,23.0,4.0,50.0,4.0,78.0,1.0,7.0,7.0,23.0,3.0,21.0,7.0,81.0,3.0,87.0,6.0,45.0,9.0,80.0,1.0,257.4228146
2.0,99.0,6.0,16.0,4.0,47.0,8.0,75.0,7.0,33.0,1.0,13.0,3.0,58.0,6.0,19.0,8.0,92.0,4.0,50.0,2.0,30.0,10.0,249.7216858
2.0,56.0,4.0,99.0,7.0,15.0,7.0,86.0,10.0,28.0,5.0,68.0,1.0,80.0,3.0,36.0,9.0,35.0,7.0,50.0,8.0,69.0,8.0,276.0742238
2.0,81.0,10.0,99.0,9.0,80.0,7.0,70.0,1.0,80.0,7.0,13.0,9.0,53.0,7.0,2.0,2.0,48.0,3.0,66.0,8.0,56.0,6.0,266.0253888
2.0,26.0,2.0,48.0,5.0,30.0,10.0,25.0,6.0,79.0,8.0,66.0,6.0,37.0,8.0,35.0,10.0,64.0,6.0,56.0,1.0,5.0,3.0,262.25539060000006
2.0,75.0,2.0,32.0,6.0,65.0,10.0,49.0,10.0,84.0,2.0,8.0,8.0,96.0,5.0,96.0,3.0,76.0,8.0,6.0,8.0,29.0,6.0,291.47057159999997
2.0,5.0,1.0,26.0,3.0,47.0,3.0,44.0,1.0,73.0,4.0,93.0,10.0,31.0,5.0,45.0,1.0,4.0,3.0,53.0,4.0,21.0,5.0,162.1683291
2.0,20.0,9.0,11.0,2.0,38.0,2.0,4.0,3.0,41.0,2.0,52.0,6.0,6.0,4.0,57.0,3.0,66.0,9.0,40.0,3.0,39.0,2.0,242.3046649
2.0,47.0,2.0,22.0,9.0,84.0,8.0,99.0,8.0,30.0,5.0,29.0,8.0,97.0,6.0,22.0,10.0,12.0,8.0,56.0,5.0,74.0,1.0,244.05520059999998
1.0,10.0,9.0,26.0,10.0,13.0,7.0,30.0,8.0,64.0,10.0,16.0,4.0,56.0,7.0,50.0,9.0,69.0,4.0,65.0,10.0,11.0,1.0,232.1915498
2.0,86.0,3.0,89.0,3.0,19.0,3.0,34.0,10.0,18.0,4.0,12.0,1.0,11.0,1.0,10.0,10.0,97.0,1.0,43.0,5.0,12.0,9.0,223.95637749999997
2.0,58.0,5.0,58.0,5.0,16.0,10.0,86.0,6.0,81.0,6.0,59.0,7.0,27.0,3.0,75.0,6.0,11.0,6.0,44.0,5.0,90.0,5.0,282.07232469999997
2.0,2.0,8.0,64.0,5.0,77.0,7.0,66.0,1.0,7.0,3.0,63.0,4.0,16.0,7.0,6.0,3.0,3.0,1.0,67.0,7.0,50.0,10.0,151.8572114
2.0,38.0,2.0,37.0,3.0,97.0,7.0,99.0,10.0,6.0,7.0,92.0,1.0,12.0,1.0,47.0,7.0,56.0,9.0,87.0,3.0,10.0,4.0,268.460712
