context,computer(downsampling rate),computer(frame rate),computer_2(downsampling rate),computer_2(frame rate),cups(downsampling rate),cups(frame rate),desk(downsampling rate),desk(frame rate),chair(downsampling rate),chair(frame rate),papers(downsampling rate),papers(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
2.0,23.0,9.0,64.0,8.0,72.0,2.0,57.0,10.0,20.0,9.0,60.0,2.0,16.0,10.0,8.0,10.0,210.40735819999998
2.0,37.0,8.0,100.0,2.0,56.0,3.0,55.0,3.0,67.0,1.0,5.0,1.0,72.0,4.0,44.0,3.0,236.0648069
2.0,100.0,4.0,23.0,10.0,24.0,10.0,23.0,8.0,14.0,7.0,84.0,7.0,1.0,3.0,12.0,3.0,210.11441849999997
2.0,44.0,5.0,61.0,10.0,45.0,10.0,18.0,4.0,41.0,1.0,66.0,9.0,73.0,2.0,62.0,10.0,264.8846211
2.0,58.0,10.0,86.0,3.0,23.0,6.0,85.0,8.0,32.0,3.0,81.0,2.0,55.0,10.0,59.0,5.0,246.4248657
2.0,20.0,1.0,97.0,9.0,91.0,4.0,19.0,4.0,31.0,3.0,36.0,8.0,78.0,3.0,57.0,2.0,226.85808619999997
2.0,61.0,4.0,98.0,2.0,77.0,10.0,96.0,4.0,95.0,3.0,94.0,10.0,21.0,2.0,40.0,8.0,214.07243309999998
1.0,8.0,4.0,22.0,3.0,66.0,9.0,8.0,5.0,67.0,9.0,45.0,1.0,42.0,2.0,76.0,4.0,234.53515229999996
1.0,24.0,7.0,59.0,10.0,68.0,7.0,11.0,9.0,14.0,6.0,91.0,3.0,1.0,6.0,43.0,6.0,275.9212378
1.0,40.0,6.0,13.0,10.0,71.0,10.0,43.0,8.0,18.0,6.0,15.0,2.0,55.0,9.0,18.0,3.0,274.54073680000005
1.0,37.0,10.0,37.0,1.0,28.0,5.0,41.0,7.0,27.0,9.0,88.0,4.0,58.0,9.0,21.0,7.0,294.9797857
1.0,68.0,4.0,60.0,6.0,65.0,3.0,60.0,7.0,1.0,6.0,22.0,7.0,83.0,5.0,42.0,5.0,279.9295906
2.0,2.0,9.0,73.0,5.0,18.0,9.0,89.0,6.0,58.0,3.0,46.0,10.0,25.0,7.0,69.0,4.0,178.1491085
1.0,52.0,3.0,40.0,5.0,37.0,1.0,45.0,3.0,19.0,4.0,62.0,5.0,66.0,2.0,22.0,4.0,281.9023621
2.0,27.0,1.0,79.0,7.0,69.0,5.0,41.0,10.0,31.0,4.0,61.0,1.0,39.0,5.0,71.0,10.0,257.4762359
2.0,18.0,1.0,49.0,2.0,27.0,8.0,71.0,6.0,52.0,2.0,92.0,9.0,26.0,10.0,83.0,6.0,213.89329310000002
2.0,78.0,9.0,19.0,1.0,42.0,8.0,3.0,1.0,78.0,7.0,72.0,2.0,10.0,6.0,79.0,7.0,169.8799961
2.0,17.0,6.0,83.0,4.0,36.0,6.0,99.0,6.0,40.0,7.0,74.0,8.0,58.0,8.0,30.0,6.0,242.801209
1.0,26.0,2.0,93.0,1.0,78.0,4.0,3.0,9.0,57.0,7.0,35.0,10.0,39.0,5.0,69.0,10.0,244.8080589
2.0,52.0,7.0,41.0,3.0,47.0,4.0,78.0,10.0,89.0,1.0,48.0,9.0,76.0,4.0,51.0,10.0,286.31265899999994
2.0,89.0,8.0,84.0,10.0,75.0,4.0,56.0,4.0,11.0,5.0,38.0,6.0,42.0,7.0,73.0,6.0,216.3651974
1.0,41.0,6.0,25.0,3.0,57.0,1.0,57.0,1.0,51.0,6.0,65.0,10.0,36.0,4.0,50.0,9.0,271.9006033
2.0,71.0,5.0,38.0,7.0,94.0,8.0,69.0,1.0,87.0,2.0,41.0,2.0,55.0,1.0,78.0,6.0,221.38709000000003
1.0,77.0,5.0,70.0,2.0,45.0,7.0,70.0,2.0,47.0,9.0,20.0,5.0,19.0,10.0,84.0,4.0,259.5455606
1.0,71.0,3.0,78.0,5.0,42.0,4.0,95.0,7.0,52.0,1.0,53.0,9.0,48.0,5.0,74.0,8.0,291.1495296
