context,drawer(downsampling rate),drawer(frame rate),cpu(downsampling rate),cpu(frame rate),chair(downsampling rate),chair(frame rate),computer(downsampling rate),computer(frame rate),keyboard(downsampling rate),keyboard(frame rate),mouse(downsampling rate),mouse(frame rate),computer_2(downsampling rate),computer_2(frame rate),bag(downsampling rate),bag(frame rate),clothes(downsampling rate),clothes(frame rate),food(downsampling rate),food(frame rate),canister(downsampling rate),canister(frame rate),papers(downsampling rate),papers(frame rate),desk(downsampling rate),desk(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
1.0,79.0,5.0,54.0,9.0,50.0,4.0,39.0,9.0,52.0,5.0,83.0,2.0,2.0,3.0,86.0,3.0,9.0,1.0,17.0,9.0,65.0,9.0,45.0,6.0,38.0,5.0,55.0,3.0,81.0,8.0,322.6784857
1.0,52.0,4.0,35.0,4.0,82.0,2.0,86.0,2.0,71.0,2.0,30.0,6.0,92.0,10.0,55.0,8.0,34.0,4.0,27.0,8.0,96.0,1.0,48.0,4.0,97.0,7.0,75.0,7.0,12.0,7.0,415.6437245
2.0,23.0,3.0,96.0,1.0,61.0,4.0,43.0,9.0,63.0,1.0,51.0,7.0,76.0,1.0,7.0,4.0,3.0,6.0,81.0,5.0,39.0,4.0,45.0,5.0,95.0,2.0,34.0,3.0,5.0,2.0,323.1210595
2.0,75.0,1.0,1.0,7.0,43.0,10.0,98.0,4.0,95.0,7.0,100.0,5.0,10.0,3.0,77.0,2.0,1.0,6.0,44.0,3.0,20.0,1.0,69.0,1.0,70.0,4.0,81.0,8.0,52.0,5.0,332.4303589
1.0,41.0,4.0,33.0,6.0,57.0,7.0,2.0,7.0,69.0,1.0,70.0,1.0,16.0,8.0,70.0,3.0,23.0,2.0,66.0,8.0,93.0,8.0,56.0,1.0,1.0,6.0,99.0,6.0,15.0,6.0,313.9740411
1.0,2.0,6.0,14.0,2.0,4.0,7.0,84.0,2.0,45.0,8.0,87.0,7.0,91.0,9.0,50.0,3.0,85.0,7.0,58.0,4.0,63.0,3.0,30.0,7.0,73.0,10.0,25.0,5.0,53.0,7.0,365.24270459999997
1.0,62.0,10.0,62.0,6.0,72.0,3.0,84.0,10.0,91.0,10.0,10.0,5.0,61.0,10.0,80.0,9.0,87.0,9.0,25.0,6.0,21.0,1.0,85.0,7.0,29.0,1.0,1.0,2.0,99.0,6.0,360.27944149999996
1.0,79.0,8.0,71.0,9.0,19.0,3.0,3.0,10.0,21.0,7.0,96.0,3.0,34.0,10.0,51.0,5.0,24.0,3.0,39.0,4.0,59.0,4.0,7.0,9.0,93.0,2.0,62.0,5.0,41.0,7.0,334.38570260000006
2.0,50.0,7.0,27.0,3.0,91.0,8.0,82.0,2.0,28.0,8.0,75.0,5.0,80.0,9.0,41.0,3.0,37.0,10.0,32.0,10.0,90.0,9.0,33.0,4.0,49.0,1.0,35.0,6.0,7.0,5.0,343.5747272
2.0,13.0,1.0,82.0,3.0,32.0,3.0,61.0,6.0,73.0,9.0,44.0,7.0,47.0,10.0,56.0,3.0,26.0,10.0,40.0,6.0,50.0,3.0,32.0,2.0,88.0,2.0,100.0,5.0,75.0,9.0,341.9421955
2.0,60.0,4.0,6.0,6.0,76.0,3.0,51.0,2.0,35.0,7.0,58.0,10.0,65.0,10.0,10.0,3.0,49.0,5.0,47.0,2.0,4.0,1.0,98.0,4.0,46.0,2.0,28.0,10.0,3.0,8.0,333.4440077
2.0,71.0,6.0,42.0,2.0,41.0,10.0,54.0,3.0,43.0,7.0,58.0,5.0,31.0,9.0,82.0,9.0,13.0,8.0,70.0,6.0,98.0,4.0,6.0,6.0,97.0,2.0,88.0,1.0,30.0,10.0,304.4241236
2.0,51.0,8.0,93.0,7.0,99.0,8.0,90.0,3.0,29.0,2.0,78.0,8.0,65.0,1.0,88.0,4.0,17.0,1.0,42.0,6.0,57.0,9.0,7.0,8.0,44.0,8.0,98.0,10.0,81.0,2.0,353.9729755
1.0,88.0,10.0,21.0,2.0,36.0,7.0,18.0,8.0,17.0,3.0,85.0,10.0,6.0,4.0,38.0,4.0,8.0,1.0,24.0,10.0,73.0,4.0,86.0,3.0,71.0,6.0,29.0,4.0,91.0,3.0,348.0165104
2.0,70.0,5.0,59.0,2.0,57.0,3.0,44.0,6.0,71.0,8.0,9.0,3.0,42.0,7.0,57.0,10.0,41.0,8.0,7.0,9.0,30.0,9.0,37.0,5.0,82.0,2.0,76.0,2.0,48.0,1.0,313.5818428
2.0,91.0,3.0,25.0,8.0,67.0,5.0,35.0,7.0,88.0,4.0,33.0,3.0,28.0,5.0,55.0,7.0,15.0,9.0,36.0,1.0,34.0,6.0,44.0,7.0,45.0,7.0,41.0,5.0,30.0,8.0,333.3022455
1.0,28.0,8.0,72.0,3.0,69.0,10.0,18.0,9.0,28.0,4.0,94.0,6.0,76.0,5.0,41.0,10.0,74.0,8.0,23.0,8.0,89.0,7.0,18.0,10.0,34.0,8.0,70.0,3.0,64.0,2.0,370.89082460000003
1.0,23.0,8.0,90.0,8.0,21.0,4.0,22.0,5.0,37.0,10.0,73.0,10.0,29.0,3.0,39.0,8.0,9.0,3.0,36.0,2.0,92.0,7.0,50.0,10.0,93.0,1.0,21.0,4.0,71.0,1.0,375.3830951
1.0,6.0,4.0,1.0,8.0,46.0,9.0,79.0,1.0,28.0,2.0,74.0,4.0,41.0,5.0,7.0,3.0,9.0,10.0,21.0,9.0,67.0,2.0,76.0,6.0,90.0,2.0,28.0,7.0,97.0,5.0,384.5240464
1.0,79.0,3.0,20.0,10.0,6.0,6.0,54.0,2.0,25.0,2.0,92.0,4.0,41.0,10.0,28.0,7.0,42.0,7.0,58.0,10.0,37.0,7.0,26.0,3.0,51.0,1.0,60.0,1.0,88.0,2.0,341.54476239999997
2.0,9.0,9.0,67.0,4.0,83.0,9.0,18.0,7.0,71.0,5.0,92.0,10.0,42.0,5.0,37.0,2.0,29.0,8.0,24.0,10.0,13.0,10.0,40.0,6.0,51.0,9.0,56.0,7.0,38.0,7.0,335.7107409
2.0,20.0,2.0,45.0,7.0,26.0,8.0,15.0,2.0,88.0,1.0,47.0,1.0,46.0,5.0,46.0,8.0,96.0,7.0,56.0,10.0,21.0,4.0,88.0,8.0,23.0,1.0,45.0,10.0,72.0,10.0,355.74633830000005
2.0,77.0,5.0,63.0,2.0,52.0,10.0,31.0,2.0,73.0,3.0,4.0,6.0,30.0,1.0,76.0,10.0,90.0,9.0,16.0,6.0,4.0,4.0,67.0,10.0,93.0,6.0,62.0,2.0,68.0,9.0,310.8177522
2.0,64.0,6.0,6.0,9.0,82.0,4.0,40.0,2.0,84.0,3.0,97.0,3.0,75.0,2.0,96.0,4.0,63.0,9.0,6.0,8.0,22.0,7.0,82.0,4.0,7.0,9.0,71.0,4.0,71.0,4.0,302.10200019999996
2.0,54.0,1.0,8.0,9.0,23.0,4.0,4.0,4.0,91.0,2.0,44.0,10.0,100.0,7.0,87.0,10.0,76.0,4.0,42.0,5.0,50.0,6.0,20.0,2.0,52.0,9.0,58.0,10.0,48.0,5.0,336.4692984
1.0,80.0,2.0,50.0,3.0,99.0,7.0,6.0,9.0,2.0,8.0,2.0,7.0,69.0,9.0,83.0,10.0,84.0,4.0,83.0,1.0,39.0,5.0,17.0,5.0,82.0,2.0,31.0,7.0,23.0,4.0,353.76883899999996
2.0,26.0,4.0,96.0,10.0,11.0,5.0,11.0,4.0,13.0,8.0,29.0,6.0,33.0,8.0,79.0,10.0,12.0,8.0,14.0,9.0,76.0,3.0,44.0,7.0,73.0,9.0,61.0,9.0,54.0,2.0,331.8689989
1.0,27.0,1.0,12.0,10.0,68.0,10.0,81.0,6.0,60.0,2.0,94.0,6.0,60.0,9.0,47.0,3.0,11.0,5.0,54.0,3.0,96.0,4.0,84.0,2.0,12.0,3.0,74.0,4.0,75.0,1.0,380.9566457
1.0,86.0,8.0,35.0,3.0,77.0,3.0,13.0,4.0,11.0,1.0,21.0,8.0,1.0,3.0,51.0,7.0,11.0,8.0,87.0,8.0,26.0,1.0,52.0,3.0,54.0,2.0,76.0,7.0,91.0,4.0,337.8777248
2.0,62.0,4.0,92.0,4.0,90.0,1.0,44.0,10.0,61.0,2.0,60.0,1.0,57.0,4.0,74.0,4.0,66.0,3.0,76.0,8.0,23.0,5.0,60.0,4.0,7.0,8.0,37.0,6.0,14.0,9.0,323.8070136
1.0,11.0,10.0,63.0,2.0,60.0,9.0,94.0,4.0,14.0,9.0,11.0,6.0,23.0,6.0,38.0,7.0,25.0,3.0,5.0,7.0,90.0,5.0,94.0,5.0,23.0,1.0,89.0,3.0,26.0,6.0,366.89384359999997
2.0,1.0,5.0,6.0,8.0,14.0,7.0,44.0,4.0,49.0,6.0,29.0,7.0,19.0,9.0,14.0,5.0,74.0,7.0,21.0,10.0,42.0,3.0,21.0,10.0,26.0,6.0,85.0,2.0,67.0,5.0,290.7581177
2.0,88.0,2.0,68.0,6.0,72.0,10.0,18.0,4.0,23.0,9.0,97.0,1.0,81.0,4.0,63.0,9.0,59.0,6.0,24.0,3.0,50.0,8.0,24.0,1.0,9.0,1.0,83.0,6.0,56.0,6.0,324.7278382
2.0,43.0,7.0,72.0,4.0,97.0,7.0,38.0,6.0,91.0,8.0,44.0,8.0,72.0,3.0,75.0,9.0,2.0,1.0,90.0,5.0,3.0,4.0,51.0,7.0,26.0,6.0,26.0,6.0,62.0,8.0,322.8624213
1.0,98.0,3.0,36.0,8.0,48.0,9.0,10.0,2.0,2.0,4.0,65.0,4.0,97.0,9.0,24.0,9.0,63.0,3.0,14.0,4.0,11.0,1.0,9.0,9.0,60.0,9.0,26.0,10.0,50.0,5.0,362.13304889999995
2.0,99.0,7.0,84.0,4.0,52.0,7.0,63.0,10.0,2.0,7.0,24.0,2.0,89.0,10.0,98.0,7.0,41.0,10.0,5.0,2.0,97.0,2.0,40.0,10.0,78.0,5.0,83.0,2.0,96.0,7.0,302.08214139999995
1.0,98.0,2.0,11.0,4.0,77.0,5.0,97.0,10.0,84.0,5.0,39.0,3.0,47.0,1.0,99.0,10.0,40.0,4.0,33.0,8.0,19.0,10.0,28.0,6.0,55.0,4.0,39.0,4.0,72.0,6.0,391.7622428
1.0,46.0,5.0,86.0,8.0,61.0,4.0,14.0,4.0,51.0,9.0,71.0,6.0,10.0,8.0,43.0,4.0,64.0,7.0,100.0,1.0,32.0,7.0,94.0,7.0,99.0,1.0,48.0,10.0,40.0,5.0,382.69614809999996
