user 70   scene:2
time: 0.2401723861694336, score: [236.59976]
time: 0.4351491928100586, score: [239.60359]
time: 0.5524804592132568, score: [242.65971]
time: 0.6899890899658203, score: [245.78008]
time: 0.8459475040435791, score: [248.9091]
time: 0.9885845184326172, score: [252.07433]
time: 1.1405866146087646, score: [255.26476]
time: 1.2897541522979736, score: [258.4543]
time: 1.4315707683563232, score: [261.6426]
time: 1.58150053024292, score: [264.8291]
time: 1.7371108531951904, score: [268.01358]
time: 1.90366792678833, score: [271.1953]
time: 2.0801892280578613, score: [274.3723]
time: 2.2711093425750732, score: [277.54306]
time: 2.4397776126861572, score: [280.70612]
time: 2.618212938308716, score: [283.8603]
time: 2.7771735191345215, score: [287.0047]
time: 2.953427791595459, score: [289.8934]
time: 3.1388018131256104, score: [292.78265]
time: 3.3074288368225098, score: [295.67224]
time: 3.5403482913970947, score: [298.56213]
time: 3.7406318187713623, score: [301.4524]
time: 3.934765338897705, score: [304.34665]
time: 4.158390998840332, score: [307.4953]
time: 4.3577799797058105, score: [310.38647]
time: 4.54632306098938, score: [313.2823]
time: 4.730212211608887, score: [316.4003]
time: 4.911300897598267, score: [319.29245]
time: 5.126112222671509, score: [322.2273]
time: 5.320565223693848, score: [325.36273]
time: 5.50308084487915, score: [328.25464]
time: 5.69815468788147, score: [331.18402]
time: 5.889068365097046, score: [334.29916]
time: 6.086258888244629, score: [335.21335]
time: 6.291533470153809, score: [335.3133]
time: 6.508640766143799, score: [335.2824]
time: 6.71820592880249, score: [335.2741]
time: 6.928616762161255, score: [335.3188]
time: 7.136066675186157, score: [335.2452]
time: 7.340092658996582, score: [335.32266]
time: 7.522785902023315, score: [335.27026]
time: 7.716731786727905, score: [335.33945]
time: 7.906339406967163, score: [335.22092]
time: 8.100977897644043, score: [335.31784]
time: 8.298030853271484, score: [335.31522]
time: 8.485129356384277, score: [335.2718]
time: 8.672187328338623, score: [335.3379]
time: 8.854366779327393, score: [335.229]
time: 9.042434453964233, score: [335.32434]
time: 9.230212926864624, score: [335.31848]
time: 9.437971115112305, score: [335.28723]
time: 9.627387762069702, score: [335.30914]
time: 9.829301834106445, score: [335.32855]
time: 10.041666984558105, score: [335.2525]
time: 10.267247200012207, score: [335.34308]
time: 10.522188901901245, score: [335.2784]
time: 10.758269309997559, score: [335.3767]
time: 10.993171691894531, score: [335.2428]
time: 11.194300651550293, score: [335.33704]
time: 11.395353078842163, score: [335.29236]
time: 11.58955430984497, score: [335.3436]
time: 11.786579847335815, score: [335.26328]
time: 11.972622394561768, score: [335.34174]
time: 12.18149447441101, score: [335.29346]
time: 12.436506509780884, score: [335.34674]
time: 12.664555549621582, score: [335.25964]
time: 12.89157223701477, score: [335.3449]
time: 13.116749048233032, score: [335.28522]
time: 13.333451747894287, score: [335.3696]
time: 13.55416464805603, score: [335.24792]
time: 13.766729593276978, score: [335.33835]
time: 13.978585481643677, score: [335.29092]
time: 14.167089462280273, score: [335.35074]
time: 14.366999864578247, score: [335.2536]
time: 14.542924880981445, score: [335.34555]
time: 14.70353627204895, score: [335.28302]
time: 14.864471435546875, score: [335.37476]
