user 0   scene:2
time: 32.291759729385376, score: [236.59833]
time: 32.31468081474304, score: [239.60228]
time: 32.33810305595398, score: [242.65688]
time: 32.35731267929077, score: [245.77617]
time: 32.37852907180786, score: [248.9041]
time: 32.39725375175476, score: [252.06572]
time: 32.41864013671875, score: [255.253]
time: 32.436684131622314, score: [258.437]
time: 32.45977425575256, score: [261.61566]
time: 32.48689365386963, score: [264.78625]
time: 32.52511954307556, score: [267.9462]
time: 32.55493211746216, score: [271.09393]
time: 32.576926469802856, score: [274.22742]
time: 32.59518337249756, score: [277.34668]
time: 32.62481617927551, score: [280.4525]
time: 32.65508270263672, score: [283.54584]
time: 32.690319538116455, score: [286.62772]
time: 32.71390175819397, score: [289.6628]
time: 32.73715949058533, score: [292.55292]
time: 32.76117491722107, score: [295.44348]
time: 32.78946590423584, score: [298.33444]
time: 32.812885999679565, score: [301.22604]
time: 32.835527181625366, score: [304.1222]
time: 32.85386657714844, score: [307.14575]
time: 32.87617492675781, score: [310.16467]
time: 32.89975690841675, score: [313.15784]
time: 32.927743434906006, score: [316.12018]
time: 32.95731282234192, score: [319.125]
time: 32.9797158241272, score: [322.09634]
time: 33.00029277801514, score: [325.1076]
time: 33.019654989242554, score: [328.0846]
time: 33.04718327522278, score: [331.1007]
time: 33.069525480270386, score: [334.0819]
time: 33.09284448623657, score: [335.1635]
time: 33.111095905303955, score: [335.1657]
time: 33.132020235061646, score: [335.16666]
time: 33.16228914260864, score: [335.1671]
time: 33.18511652946472, score: [335.167]
time: 33.20454668998718, score: [335.1671]
time: 33.2254683971405, score: [335.16705]
time: 33.24626040458679, score: [335.16708]
time: 33.26477241516113, score: [335.16705]
time: 33.301830530166626, score: [335.16708]
time: 33.330897092819214, score: [335.16708]
time: 33.35388684272766, score: [335.16708]
time: 33.37314510345459, score: [335.16708]
time: 33.39311671257019, score: [335.16708]
time: 33.4164674282074, score: [335.16708]
time: 33.43885850906372, score: [335.16708]
time: 33.46312165260315, score: [335.16708]
time: 33.493441581726074, score: [335.16708]
time: 33.515416622161865, score: [335.16708]
time: 33.536099433898926, score: [335.16708]
time: 33.56180381774902, score: [335.16708]
time: 33.578991174697876, score: [335.16708]
time: 33.59899950027466, score: [335.16708]
time: 33.620944023132324, score: [335.16708]
time: 33.63940644264221, score: [335.16708]
time: 33.67004084587097, score: [335.16708]
time: 33.69933199882507, score: [335.16708]
time: 33.7292160987854, score: [335.16708]
time: 33.759706020355225, score: [335.16708]
